round,hospital,train_loss,test_loss,micro_f1,precision,recall,macro_f1,macro_precision,macro_recall
11,georgia,0.2069290340786763,0.2161783552140865,0.6538895152198422,0.6697459584295612,0.6387665198237885,0.4768105641841682,0.5093599281749993,0.4923248940598152
11,ningbo,0.11807163031591,0.1200284997094422,0.7829534192269574,0.8290280917016467,0.7417304636718186,0.3457729009511429,0.4656690118984581,0.3467750953814639
11,ptb-xl,0.1422558234997462,0.1244591980209368,0.7976420904451874,0.8999404407385349,0.7162268920840575,0.3569409324662739,0.5067629533743853,0.3451966134699513
12,chapman_shaoxing,0.1314517711299113,0.1128004005462941,0.8180935740632886,0.8214424951267056,0.8147718484145399,0.5081958400255596,0.5798131376934677,0.5327190165656055
12,cpsc_2018,0.1392515036960442,0.1141481287280718,0.7575757575757576,0.8093525179856115,0.7120253164556962,0.3684209670646053,0.3957914224412678,0.357674958834872
12,georgia,0.2035815764364658,0.2162429054529921,0.6176819151457691,0.6685479733196511,0.5740088105726873,0.4136983771757177,0.5324368994355163,0.4282103803504245
12,ningbo,0.1146150090598443,0.1207231602365417,0.7830396475770925,0.8597339782345829,0.7189079878665319,0.3515590053322117,0.4274205116909388,0.3829480170007677
12,ptb-xl,0.1395316640651668,0.1417368960499536,0.7649086521889004,0.8413270142180095,0.7012166218991942,0.3739430365904665,0.4636640261821337,0.3687792240656233
13,chapman_shaoxing,0.1270415817175827,0.1331551624935562,0.8015055467511886,0.8216896831844029,0.7822892498066512,0.5229543302535531,0.522445637977443,0.5665963995203381
13,cpsc_2018,0.1357429167379935,0.1183069950838883,0.7811860940695297,0.8086367485182049,0.7555379746835443,0.4187915177591072,0.453485216205346,0.405749327370257
13,georgia,0.2067516015696467,0.1897829616243399,0.6476619154788698,0.7489878542510121,0.5704845814977973,0.4438845396649979,0.6037746327443108,0.4197069514032803
13,ningbo,0.112628314116505,0.1068551450595259,0.8140389275384976,0.8870528109028961,0.7521305792286581,0.3869866426275057,0.4377717397572159,0.36668830033959
13,ptb-xl,0.1378088481086855,0.1336850131164259,0.8203592814371258,0.8407696135345829,0.8009164164954969,0.4290164715292008,0.480042776018471,0.4455824879496536
14,chapman_shaoxing,0.1253378177635102,0.1244234728105997,0.787633865427359,0.8247989843419382,0.7536736272235112,0.478065986087017,0.5674776703444985,0.4614413828738001
14,cpsc_2018,0.1339472022031744,0.1349142630894979,0.7075971731448764,0.801,0.6337025316455697,0.3289954770383259,0.4274744850285457,0.3301108657077201
14,georgia,0.202459498071203,0.1839812356725479,0.6651730146875778,0.7647395535203205,0.5885462555066079,0.5031739938658938,0.5572639913516809,0.4789349696824198
14,ningbo,0.1104243691799068,0.1021951613814703,0.8165888744356875,0.8682069638789457,0.770764119601329,0.3963416072141064,0.4443630698326624,0.3741295620391253
14,ptb-xl,0.1362908871759423,0.131036194034289,0.8095277342784143,0.8461405926946933,0.7759519671354085,0.3933496543127921,0.4379280830090422,0.4050355436121243
15,chapman_shaoxing,0.1254302994793008,0.1118685119801153,0.8163024217365623,0.8315282791817088,0.8016241299303944,0.5428761319993721,0.6714314865791211,0.5463054598894689
15,cpsc_2018,0.1314985472957293,0.110449900428454,0.7679012345679013,0.8001715265866209,0.7381329113924051,0.4105598165585826,0.4648342879565206,0.3905883136296584
15,georgia,0.1996295879613243,0.1923569386589874,0.6814848762603116,0.710124164278892,0.6550660792951541,0.4917909855857251,0.5397680300653577,0.4838017826316694
15,ningbo,0.1103703520019049,0.1111022247892937,0.8067733704476919,0.8680532445923461,0.7535750397226636,0.3930608374028553,0.4260982616945679,0.3999331581438661
15,ptb-xl,0.1359429458021664,0.126793773653616,0.803413026949396,0.8632897603485838,0.7513035234634223,0.4016479497920777,0.4356295606528926,0.3905220305659757
16,chapman_shaoxing,0.12395928963828998,0.11116338903242248,0.8295037652056382,0.8283841110682607,0.8306264501160093,0.5444793133562866,0.6077319314061815,0.5690100300854263
16,cpsc_2018,0.13163321649034818,0.10545544748504956,0.7690288713910761,0.860078277886497,0.6954113924050633,0.40172437412674517,0.51919089030402,0.3861006709769362
16,georgia,0.19885969214944862,0.1742500908021788,0.6945646945646946,0.7648305084745762,0.6361233480176212,0.5180879880398781,0.5667069605444967,0.48953986036621533
16,ningbo,0.10859157895169869,0.11449794671365193,0.8037886955182504,0.8607949859805377,0.7538639318214647,0.3662787920180237,0.4373799809618073,0.34301594948007647
16,ptb-xl,0.13436935904715563,0.12389633848469973,0.7988990194391881,0.8767226732112516,0.7337652077737399,0.43347841647274804,0.46526030809636126,0.4352149007494725
17,chapman_shaoxing,0.12264274049653116,0.10110451861963433,0.8231631382316313,0.8884408602150538,0.7668213457076566,0.491762144186926,0.6333757807991414,0.49115652815643746
17,cpsc_2018,0.13226146721591553,0.11276660760243734,0.7445255474452555,0.8140845070422535,0.6859177215189873,0.36723840973136707,0.42373994908410456,0.35014425631464613
17,georgia,0.20006092120984606,0.17668112164851532,0.6978596316575411,0.8020594965675057,0.6176211453744493,0.5138761077258552,0.5802618228152497,0.4809726259540213
17,ningbo,0.10785390014842548,0.12419268681002514,0.7958584226758701,0.8094100074682599,0.7827531417015745,0.36397118990987015,0.3812072438575059,0.4277031203141748
17,ptb-xl,0.13390707515335923,0.126810221263551,0.8203131472123271,0.8622431208638105,0.7822720808974561,0.4181904013395828,0.4655845768726625,0.4114616765495651
18,chapman_shaoxing,0.1210689308347216,0.10422459721438966,0.8226779252110977,0.8567839195979899,0.7911832946635731,0.5334019350592254,0.6247882178606966,0.4992123854398158
